collider_position,model_prediction,friction,speed,fr_noise,vel_noise,col_noise
1,1.0,high,slow,0.1,0.05,0.15
2,0.9,high,slow,0.1,0.05,0.15
3,0.5666666666666667,high,slow,0.1,0.05,0.15
4,0.03333333333333333,high,slow,0.1,0.05,0.15
6,0.0,high,slow,0.1,0.05,0.15
13,0.0,high,slow,0.1,0.05,0.15
1,1.0,med,slow,0.1,0.05,0.15
2,1.0,med,slow,0.1,0.05,0.15
3,0.8,med,slow,0.1,0.05,0.15
4,0.3,med,slow,0.1,0.05,0.15
5,0.0,med,slow,0.1,0.05,0.15
7,0.0,med,slow,0.1,0.05,0.15
10,0.0,med,slow,0.1,0.05,0.15
1,1.0,low,slow,0.1,0.05,0.15
2,1.0,low,slow,0.1,0.05,0.15
3,0.8666666666666667,low,slow,0.1,0.05,0.15
4,0.23333333333333334,low,slow,0.1,0.05,0.15
5,0.03333333333333333,low,slow,0.1,0.05,0.15
7,0.0,low,slow,0.1,0.05,0.15
12,0.0,low,slow,0.1,0.05,0.15
1,1.0,high,med,0.1,0.05,0.15
3,1.0,high,med,0.1,0.05,0.15
5,1.0,high,med,0.1,0.05,0.15
6,0.7333333333333333,high,med,0.1,0.05,0.15
7,0.13333333333333333,high,med,0.1,0.05,0.15
8,0.13333333333333333,high,med,0.1,0.05,0.15
10,0.0,high,med,0.1,0.05,0.15
13,0.0,high,med,0.1,0.05,0.15
1,1.0,med,med,0.1,0.05,0.15
4,1.0,med,med,0.1,0.05,0.15
6,1.0,med,med,0.1,0.05,0.15
7,0.7666666666666667,med,med,0.1,0.05,0.15
8,0.6333333333333333,med,med,0.1,0.05,0.15
9,0.2,med,med,0.1,0.05,0.15
11,0.03333333333333333,med,med,0.1,0.05,0.15
14,0.0,med,med,0.1,0.05,0.15
2,1.0,low,med,0.1,0.05,0.15
5,1.0,low,med,0.1,0.05,0.15
7,0.9333333333333333,low,med,0.1,0.05,0.15
8,0.7666666666666667,low,med,0.1,0.05,0.15
9,0.3333333333333333,low,med,0.1,0.05,0.15
10,0.16666666666666666,low,med,0.1,0.05,0.15
12,0.0,low,med,0.1,0.05,0.15
16,0.0,low,med,0.1,0.05,0.15
4,1.0,high,fast,0.1,0.05,0.15
8,1.0,high,fast,0.1,0.05,0.15
10,0.7666666666666667,high,fast,0.1,0.05,0.15
11,0.5666666666666667,high,fast,0.1,0.05,0.15
12,0.43333333333333335,high,fast,0.1,0.05,0.15
13,0.26666666666666666,high,fast,0.1,0.05,0.15
15,0.03333333333333333,high,fast,0.1,0.05,0.15
17,0.03333333333333333,high,fast,0.1,0.05,0.15
6,1.0,med,fast,0.1,0.05,0.15
11,0.9333333333333333,med,fast,0.1,0.05,0.15
13,0.6666666666666666,med,fast,0.1,0.05,0.15
14,0.36666666666666664,med,fast,0.1,0.05,0.15
15,0.36666666666666664,med,fast,0.1,0.05,0.15
16,0.16666666666666666,med,fast,0.1,0.05,0.15
17,0.1,med,fast,0.1,0.05,0.15
5,1.0,low,fast,0.1,0.05,0.15
12,0.9333333333333333,low,fast,0.1,0.05,0.15
14,0.8,low,fast,0.1,0.05,0.15
15,0.5333333333333333,low,fast,0.1,0.05,0.15
16,0.3,low,fast,0.1,0.05,0.15
17,0.16666666666666666,low,fast,0.1,0.05,0.15
